dataset,accuracy,precision,recall,f_scall
MNIST,0.4705,0.2115,0.2157,0.2136
arrhythmia,0.8008,0.6982,0.7086,0.7034
musk,0.8927,0.8324,0.8491,0.8406
optdigits,0.6069,0.4121,0.4203,0.4162
pendigits,0.7899,0.6814,0.6945,0.6879
satimage,0.9475,0.9097,0.9354,0.9224
