dataset,accuracy,precision,recall,f_scall
MNIST,0.4705,0.2115,0.2157,0.2136
arrhythmia,0.7717,0.6552,0.6652,0.6602
musk,0.8543,0.7758,0.7918,0.7837
optdigits,0.6604,0.4908,0.5007,0.4957
pendigits,0.8496,0.7692,0.7840,0.7765
satimage,0.9690,0.9411,0.9676,0.9542
speech,0.5486,0.3258,0.3311,0.3285
