dataset,accuracy,precision,recall,f_scall
arrhythmia,0.7283,0.5910,0.6000,0.5955
musk,0.9258,0.8808,0.8990,0.8898
optdigits,0.5582,0.3405,0.3473,0.3439
pendigits,0.8009,0.6975,0.7109,0.7041
satimage,0.9775,0.9534,0.9803,0.9667
speech,0.5301,0.2984,0.3033,0.3008
