dataset,accuracy,precision,recall,f_scall
arrhythmia,0.8106,0.6212,0.6212,0.6212
kddcup,0.8934,0.7867,0.7867,0.7867
mnist,0.8089,0.6179,0.6179,0.6179
musk,0.9278,0.8557,0.8557,0.8557
optdigits,0.7100,0.4200,0.4200,0.4200
pendigits,0.8510,0.7019,0.7019,0.7019
satimage,0.9930,0.9859,0.9859,0.9859
speech,0.6230,0.2459,0.2459,0.2459
