dataset,accuracy,precision,recall,f_scall
arrhythmia,0.7121,0.4242,0.4242,0.4242
kddcup,0.9166,0.8333,0.8333,0.8333
mnist,0.6971,0.3943,0.3943,0.3943
musk,0.8196,0.6392,0.6392,0.6392
optdigits,0.7517,0.5033,0.5033,0.5033
pendigits,0.7901,0.5801,0.5801,0.5801
satimage,0.9930,0.9859,0.9859,0.9859
speech,0.6557,0.3115,0.3115,0.3115
